"","File","Cluster_ID","AvgDbh","AvgCrownDiameter","AvgCrownHeight","AvgCrownArea","SpeciesCount","AvgTreeHeight","TreeCount","J","X","Y"
"13280",3,77846,12.1428571428571,1.34108108108108,5.5664,1.53850237837838,3,9.21207792207792,77,0.75587949632215,-92.9203234814815,15.2589258148148
"13281",3,66963,13.4888888888889,2.92631578947368,1.98947368421053,7.76546926315789,7,3.61777777777778,45,0.843088324625329,-99.2581295185185,18.3563148888889
"13282",3,73083,11.9237288135593,2.91228070175439,5.12631578947368,8.68073684210526,8,7.1258064516129,62,0.761183256032221,-98.436610962963,17.1635093333333
"13283",3,7852,17.564406779661,3.05392156862745,3.06274509803922,7.91252,2,4.74915254237288,59,0.964690082561256,-108.893231333333,29.9714347037037
"13284",3,52423,16.2067567567568,4.52536231884058,6.95684931506849,18.3151865217391,1,11.3373333333333,75,NA,-103.934934888889,20.9530278148148
"13285",3,65193,23.1487179487179,5.15606060606061,6.29393939393939,22.793022,2,8.26153846153846,39,0.552495114325111,-100.534509148148,18.6457498148148
"13286",3,73315,14.5445544554455,3.69226804123711,2.73505154639175,11.9909528041237,5,4.45346534653465,101,0.664798048471624,-97.4508980370371,17.0923423333333
"13287",3,60198,12.5606334841629,2.82793427230047,4.13708920187793,7.3528838028169,39,9.47244444444444,225,0.742556928172423,-88.6150276666667,18.9643887777778
"13288",3,53580,21.4759259259259,5.71122448979592,5.843125,28.6707865714286,2,7.96127272727273,56,0.83837293770994,-104.464879740741,20.7171384444445
"13289",3,47645,10.704,2.00277777777778,3.43888888888889,3.47321333333333,5,4.08,25,0.819886048756544,-102.735971925926,21.915176
"13290",3,10277,10.8615384615385,2.16363636363636,0.772727272727273,3.872736,4,2.94615384615385,13,0.834590168433365,-107.522666074074,29.4367128148148
"13291",3,66725,18.463829787234,4.67391304347826,4.66739130434783,18.9428235652174,7,9.28936170212766,47,0.791533254666179,-96.6996940740741,18.3327588888889
"13292",3,59798,14.1418421052632,7.41633802816901,5.9875,49.195686084507,9,7.95394736842105,77,0.84114132319111,-101.002351814815,19.6004908518519
"13293",3,16346,NA,NA,NA,NA,0,NA,0,NA,-103.488490666667,28.3487311851852
"13294",3,51821,13.152,2.45833333333333,3.41666666666667,5.16839741666667,4,5.668,25,0.630559594281591,-99.2512313333333,21.0754163703704
"13295",3,70087,20.2828571428571,3.775,7.07532467532468,14.1618038571429,13,12.1679245283019,106,0.855749552536269,-96.0156203703704,17.7188422962963
"13296",3,19290,16.8759036144578,3.11049382716049,2.513,8.28839407407407,9,5.82305882352941,86,0.606841225842859,-107.397379259259,27.7225642222222
"13297",3,63010,13.0081081081081,3.65735294117647,4.14705882352941,11.437041,9,6.24102564102564,39,0.834818532108617,-103.815111,19.0040832592593
"13298",3,6929,11.45,2.85,2.235,6.381375,1,2.85,2,NA,-110.769092148148,30.1081202962963
"13299",3,60559,15.862,4.72714285714286,3.21714285714286,24.7169868,7,5.63170731707317,41,0.872284080007993,-100.859842444445,19.4635185185185
